@relation OPENJPA_1_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
62,62,31.0,62,0,0.0,0,62,31.0,62,2,0,1,NO
100,100,50.0,100,0,0.0,0,100,50.0,100,2,0,1,NO
211,215,53.75,211,3,0.75,2,212,53.0,211,4,0,2,NO
257,259,86.33333333333333,257,2,0.6666666666666666,2,257,85.66666666666667,257,3,0,2,NO
147,151,37.75,147,3,0.75,2,148,37.0,147,4,0,2,NO
50,50,16.666666666666668,49,0,0.0,0,50,16.666666666666668,49,3,0,1,NO
603,618,206.0,609,15,5.0,15,615,205.0,609,3,0,2,NO
873,927,132.42857142857142,900,54,7.714285714285714,34,933,133.28571428571428,900,7,0,3,NO
52,57,19.0,50,5,1.6666666666666667,5,52,17.333333333333332,50,3,0,2,NO
58,58,29.0,58,0,0.0,0,58,29.0,58,2,0,1,NO
158,158,79.0,158,0,0.0,0,158,79.0,158,2,0,1,NO
61,65,21.666666666666668,65,4,1.3333333333333333,4,69,23.0,65,3,0,1,NO
135,135,67.5,135,0,0.0,0,135,67.5,135,2,0,1,NO
189,189,94.5,189,0,0.0,0,189,94.5,189,2,0,1,NO
376,420,140.0,384,44,14.666666666666666,44,392,130.66666666666666,384,3,0,1,NO
259,276,69.0,262,17,4.25,15,265,66.25,262,4,0,2,NO
32,32,16.0,32,0,0.0,0,32,16.0,32,2,0,1,NO
243,244,61.0,233,1,0.25,1,243,60.75,233,4,0,2,NO
42,42,21.0,42,0,0.0,0,42,21.0,42,2,0,1,NO
126,130,32.5,127,4,1.0,3,128,32.0,127,4,0,2,NO
58,61,20.333333333333332,58,3,1.0,3,58,19.333333333333332,58,3,0,2,NO
168,169,56.333333333333336,168,1,0.3333333333333333,1,168,56.0,168,3,0,2,NO
172,174,43.5,164,2,0.5,2,172,43.0,164,4,0,2,NO
322,428,61.142857142857146,285,106,15.142857142857142,52,332,47.42857142857143,285,7,0,3,NO
46,46,23.0,46,0,0.0,0,46,23.0,46,2,0,1,NO
38,38,19.0,38,0,0.0,0,38,19.0,38,2,0,1,NO
96,107,26.75,106,11,2.75,10,116,29.0,106,4,0,2,NO
1383,1720,172.0,1458,337,33.7,122,1559,155.9,1458,10,0,3,NO
628,726,121.0,636,98,16.333333333333332,52,644,107.33333333333333,636,6,0,2,NO
43,43,21.5,43,0,0.0,0,43,21.5,43,2,0,1,NO
455,466,155.33333333333334,457,11,3.6666666666666665,11,459,153.0,457,3,0,2,NO
360,373,124.33333333333333,369,13,4.333333333333333,13,378,126.0,369,3,0,2,NO
217,217,108.5,217,0,0.0,0,217,108.5,217,2,0,1,NO
441,456,114.0,445,15,3.75,14,449,112.25,445,4,0,3,NO
177,177,88.5,177,0,0.0,0,177,88.5,177,2,0,1,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
127,140,35.0,129,13,3.25,12,131,32.75,129,4,0,1,NO
70,75,25.0,70,5,1.6666666666666667,5,70,23.333333333333332,70,3,0,2,NO
128,129,43.0,129,1,0.3333333333333333,1,130,43.333333333333336,129,3,0,1,NO
257,266,66.5,263,9,2.25,8,269,67.25,263,4,0,2,NO
156,168,56.0,166,12,4.0,12,176,58.666666666666664,166,3,0,2,NO
625,628,157.0,625,3,0.75,2,625,156.25,625,4,0,1,NO
40,40,20.0,40,0,0.0,0,40,20.0,40,2,0,1,NO
200,200,100.0,200,0,0.0,0,200,100.0,200,2,0,1,NO
45,56,18.666666666666668,54,10,3.3333333333333335,10,62,20.666666666666668,54,3,0,2,NO
74,86,17.2,61,11,2.2,8,75,15.0,61,5,0,2,NO
193,224,37.333333333333336,192,31,5.166666666666667,20,193,32.166666666666664,192,6,0,2,NO
33,34,17.0,34,0,0.0,0,34,17.0,34,2,0,1,NO
91,104,26.0,91,13,3.25,7,91,22.75,91,4,0,2,NO
33,34,17.0,34,0,0.0,0,34,17.0,34,2,0,1,NO
180,203,50.75,178,23,5.75,15,180,45.0,178,4,0,2,NO
40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
79,90,22.5,79,11,2.75,6,79,19.75,79,4,0,2,NO
80,89,22.25,81,9,2.25,6,82,20.5,81,4,0,2,NO
134,151,37.75,134,17,4.25,9,134,33.5,134,4,0,2,NO
101,116,29.0,101,15,3.75,9,101,25.25,101,4,0,2,NO
173,204,40.8,171,30,6.0,23,174,34.8,171,5,0,2,NO
204,242,48.4,211,38,7.6,19,218,43.6,211,5,0,2,NO
83,88,29.333333333333332,83,5,1.6666666666666667,5,83,27.666666666666668,83,3,0,2,NO
76,87,21.75,77,11,2.75,6,78,19.5,77,4,0,2,NO
185,190,47.5,178,5,1.25,5,185,46.25,178,4,0,2,NO
62,66,22.0,66,4,1.3333333333333333,4,70,23.333333333333332,66,3,0,2,NO
46,46,23.0,46,0,0.0,0,46,23.0,46,2,0,1,NO
54,57,14.25,56,2,0.5,1,57,14.25,56,4,0,2,NO
70,73,24.333333333333332,70,3,1.0,3,70,23.333333333333332,70,3,0,2,NO
44,49,16.333333333333332,49,4,1.3333333333333333,4,53,17.666666666666668,49,3,0,2,NO
55,64,16.0,57,9,2.25,6,59,14.75,57,4,0,2,NO
202,224,56.0,202,22,5.5,16,202,50.5,202,4,0,2,NO
75,83,27.666666666666668,75,8,2.6666666666666665,8,75,25.0,75,3,0,2,NO
72,86,21.5,83,14,3.5,11,94,23.5,83,4,0,2,NO
237,274,45.666666666666664,232,37,6.166666666666667,27,237,39.5,232,6,0,2,NO
103,103,51.5,103,0,0.0,0,103,51.5,103,2,0,1,NO
101,106,35.333333333333336,101,5,1.6666666666666667,5,101,33.666666666666664,101,3,0,2,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,2,0,1,NO
213,213,213.0,213,0,0.0,0,213,213.0,213,1,0,1,NO
181,207,51.75,184,25,6.25,15,186,46.5,184,4,0,2,NO
30,36,18.0,29,6,3.0,6,30,15.0,29,2,0,1,NO
175,197,39.4,176,22,4.4,13,177,35.4,176,5,0,2,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
79,94,23.5,79,15,3.75,9,79,19.75,79,4,0,2,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
164,195,39.0,163,30,6.0,23,167,33.4,163,5,0,2,NO
152,165,27.5,154,12,2.0,6,155,25.833333333333332,154,6,0,2,NO
71,84,21.0,72,13,3.25,7,73,18.25,72,4,0,2,NO
71,83,20.75,72,12,3.0,6,73,18.25,72,4,0,2,NO
42,42,21.0,42,0,0.0,0,42,21.0,42,2,0,1,NO
449,480,68.57142857142857,450,31,4.428571428571429,14,465,66.42857142857143,450,7,0,3,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
29,29,14.5,29,0,0.0,0,29,14.5,29,2,0,1,NO
53,55,18.333333333333332,54,2,0.6666666666666666,2,55,18.333333333333332,54,3,0,2,NO
58,60,20.0,59,2,0.6666666666666666,2,60,20.0,59,3,0,2,NO
87,91,30.333333333333332,87,4,1.3333333333333333,4,87,29.0,87,3,0,2,NO
133,147,36.75,133,14,3.5,8,133,33.25,133,4,0,2,NO
165,193,38.6,163,27,5.4,20,166,33.2,163,5,0,2,NO
40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
40,42,14.0,41,1,0.3333333333333333,1,41,13.666666666666666,41,3,0,2,NO
85,97,24.25,86,12,3.0,6,87,21.75,86,4,0,2,NO
76,84,28.0,76,8,2.6666666666666665,8,76,25.333333333333332,76,3,0,2,NO
72,83,20.75,73,11,2.75,6,74,18.5,73,4,0,2,NO
53,56,18.666666666666668,53,3,1.0,3,53,17.666666666666668,53,3,0,2,NO
